Dati ricevuti: {'cpu_usage': 0.4, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 24.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.5, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 23.6, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 22.1, 'memory': 25.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 24.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 25.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.7, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 25.1, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 25.1, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.1, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 24.9, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 25.0, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.6, 'memory': 25.2, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 11.2, 'memory': 25.5, 'disk': 48.1, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.4, 'memory': 25.7, 'disk': 48.1, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 5.7, 'memory': 26.5, 'disk': 48.2, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 4.1, 'memory': 26.9, 'disk': 48.3, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 15.8, 'memory': 26.7, 'disk': 48.3, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 14.8, 'memory': 26.8, 'disk': 48.3, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 19.3, 'memory': 28.4, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 25.1, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 25.1, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.2, 'memory': 25.9, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 26.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 26.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.0, 'memory': 27.5, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 26.7, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 26.7, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 26.6, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.4, 'memory': 26.6, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 26.5, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 26.5, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 7.4, 'memory': 27.3, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.6, 'memory': 27.3, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.2, 'memory': 28.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.8, 'memory': 28.5, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.8, 'memory': 28.7, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 29.4, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.6, 'memory': 30.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.9, 'memory': 30.5, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 29.7, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.7, 'memory': 29.9, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.9, 'memory': 30.2, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.2, 'memory': 29.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.0, 'memory': 29.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.8, 'memory': 28.9, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.6, 'memory': 28.9, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 28.9, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.2, 'memory': 28.8, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.4, 'memory': 29.0, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 0.2, 'memory': 29.1, 'disk': 48.4, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.9, 'memory': 29.2, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.3, 'memory': 33.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 8.0, 'memory': 33.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.6, 'memory': 34.4, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 31.5, 'memory': 36.9, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 32.2, 'memory': 37.8, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.6, 'memory': 37.4, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.9, 'memory': 37.4, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.7, 'memory': 37.6, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 9.8, 'memory': 36.8, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.7, 'memory': 37.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 4.5, 'memory': 37.5, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 11.9, 'memory': 37.8, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.3, 'memory': 37.8, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.5, 'memory': 38.2, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.8, 'memory': 38.4, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.4, 'memory': 37.5, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 7.4, 'memory': 37.7, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 10.1, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.1, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.1, 'memory': 37.2, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.2, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 3.5, 'memory': 37.4, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.3, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 5.9, 'memory': 37.0, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.3, 'memory': 37.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.5, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.7, 'memory': 37.0, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.8, 'memory': 37.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.1, 'memory': 37.1, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 2.0, 'memory': 37.0, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.8, 'memory': 37.3, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
Dati ricevuti: {'cpu_usage': 1.4, 'memory': 37.0, 'disk': 48.5, 'system': 'Windows', 'node': 'DESKTOP-CBKKCIA', 'release': '11', 'version': '10.0.22631'}
